128000000000+0i,-9.822501508760979e-05-1.312305588807612e-07i,-0.002795246553802396-8.974059946992133e-06i
129000000000+0i,-9.899239801798174e-05-1.322557976220171e-07i,-0.002817084417503977-9.044169790328006e-06i
130000000000+0i,-9.975978094835371e-05-1.332810363632731e-07i,-0.002838922281205558-9.114279633663884e-06i
131000000000+0i,-0.0001005271638787257-1.34306275104529e-07i,-0.00286076014490714-9.18438947699976e-06i
132000000000+0i,-0.0001012945468090976-1.35331513845785e-07i,-0.002882598008608721-9.254499320335636e-06i
133000000000+0i,-0.0001020619297394696-1.363567525870409e-07i,-0.002904435872310302-9.324609163671511e-06i
134000000000+0i,-0.0001028293126698415-1.373819913282969e-07i,-0.002926273736011883-9.394719007007389e-06i
135000000000+0i,-0.0001035966956002135-1.384072300695528e-07i,-0.002948111599713465-9.464828850343265e-06i
136000000000+0i,-0.0001043640785305854-1.394324688108088e-07i,-0.002969949463415047-9.534938693679141e-06i
137000000000+0i,-0.0001051314614609574-1.404577075520647e-07i,-0.002991787327116628-9.605048537015018e-06i
138000000000+0i,-0.0001058988443913293-1.414829462933207e-07i,-0.003013625190818208-9.675158380350894e-06i
139000000000+0i,-0.0001066662273217013-1.425081850345766e-07i,-0.003035463054519789-9.745268223686767e-06i
140000000000+0i,-0.0001074336102520732-1.435334237758326e-07i,-0.00305730091822137-9.815378067022645e-06i
141000000000+0i,-0.0001082009931824452-1.445586625170885e-07i,-0.003079138781922952-9.885487910358521e-06i
142000000000+0i,-0.0001089683761128171-1.455839012583444e-07i,-0.003100976645624534-9.955597753694396e-06i
143000000000+0i,-0.0001097357590431891-1.466091399996004e-07i,-0.003122814509326115-1.002570759703027e-05i
144000000000+0i,-0.000110503141973561-1.476343787408564e-07i,-0.003144652373027696-1.009581744036615e-05i
145000000000+0i,-0.000111270524903933-1.486596174821123e-07i,-0.003166490236729277-1.016592728370203e-05i
146000000000+0i,-0.0001120379078343049-1.496848562233682e-07i,-0.003188328100430858-1.02360371270379e-05i
147000000000+0i,-0.0001128052907646769-1.507100949646242e-07i,-0.00321016596413244-1.030614697037378e-05i
148000000000+0i,-0.0001135726736950489-1.517353337058802e-07i,-0.003232003827834021-1.037625681370965e-05i
149000000000+0i,-0.0001143400566254208-1.527605724471361e-07i,-0.003253841691535603-1.044636665704553e-05i
